season,date,away.team,away.score,home.team,home.score,line,over_under
2014,2014-09-04,GB,16,SEA,36,-5.0,47.0
2014,2014-09-07,NO,34,ATL,37,3.0,51.5
2014,2014-09-07,MIN,6,STL,34,-3.0,43.5
2014,2014-09-07,CLE,27,PIT,30,-6.0,41.5
2014,2014-09-07,JAX,17,PHI,34,-10.0,50.0
2014,2014-09-07,OAK,14,NYJ,19,-6.5,41.5
2014,2014-09-07,CIN,23,BAL,16,-1.0,43.5
2014,2014-09-07,BUF,23,CHI,20,-7.0,47.5
2014,2014-09-07,WSH,6,HOU,17,-3.0,44.0
2014,2014-09-07,TEN,26,KC,10,-3.0,45.0
2014,2014-09-07,NE,20,MIA,33,4.0,47.5
2014,2014-09-07,CAR,20,TB,14,-4.5,38.5
2014,2014-09-07,SF,28,DAL,17,3.5,50.0
2014,2014-09-07,IND,24,DEN,31,-8.5,54.0
2014,2014-09-08,NYG,14,DET,35,-6.5,46.0
2014,2014-09-08,SD,17,ARI,18,-3.0,46.0
2014,2014-09-11,PIT,6,BAL,26,-2.5,44.5
2014,2014-09-14,DET,7,CAR,24,-1.5,43.5
2014,2014-09-14,MIA,10,BUF,29,-1.0,43.0
2014,2014-09-14,JAX,10,WSH,41,-5.0,43.0
2014,2014-09-14,DAL,26,TEN,10,-3.5,49.5
2014,2014-09-14,ARI,25,NYG,14,-2.0,41.5
2014,2014-09-14,NE,30,MIN,7,3.0,49.0
2014,2014-09-14,NO,24,CLE,26,6.0,49.5
2014,2014-09-14,ATL,10,CIN,24,-5.5,49.0
2014,2014-09-14,STL,19,TB,17,-4.5,37.5
2014,2014-09-14,SEA,21,SD,30,5.0,45.0
2014,2014-09-14,HOU,30,OAK,14,3.0,41.0
2014,2014-09-14,NYJ,24,GB,31,-7.5,46.5
2014,2014-09-14,KC,17,DEN,24,-13.0,49.0
2014,2014-09-14,CHI,28,SF,20,-7.0,47.5
2014,2014-09-15,PHI,30,IND,27,-3.0,54.0
2014,2014-09-18,TB,14,ATL,56,-6.5,47.0
2014,2014-09-21,SD,22,BUF,10,-2.5,45.5
2014,2014-09-21,DAL,34,STL,31,2.0,45.0
2014,2014-09-21,WSH,34,PHI,37,-4.0,50.0
2014,2014-09-21,HOU,17,NYG,30,-1.0,41.5
2014,2014-09-21,MIN,9,NO,20,-10.0,49.5
2014,2014-09-21,TEN,7,CIN,33,-6.5,44.5
2014,2014-09-21,BAL,23,CLE,21,1.5,43.0
2014,2014-09-21,GB,7,DET,19,-1.5,52.0
2014,2014-09-21,IND,44,JAX,17,6.5,45.0
2014,2014-09-21,OAK,9,NE,16,-14.0,47.0
2014,2014-09-21,SF,14,ARI,23,3.0,41.0
2014,2014-09-21,DEN,20,SEA,26,-4.5,48.0
2014,2014-09-21,KC,34,MIA,15,-5.5,42.5
2014,2014-09-21,PIT,37,CAR,19,-3.0,42.5
2014,2014-09-22,CHI,27,NYJ,19,-1.5,45.0
2014,2014-09-25,NYG,45,WSH,14,-3.0,44.5
2014,2014-09-28,OAK,14,MIA,38,-4.0,41.0
2014,2014-09-28,GB,38,CHI,17,2.0,51.0
2014,2014-09-28,BUF,17,HOU,23,-3.0,44.0
2014,2014-09-28,TEN,17,IND,41,-7.5,46.0
2014,2014-09-28,CAR,10,BAL,38,-3.0,42.0
2014,2014-09-28,DET,24,NYJ,17,-1.5,44.0
2014,2014-09-28,TB,27,PIT,24,-7.5,45.0
2014,2014-09-28,JAX,14,SD,33,-12.0,44.5
2014,2014-09-28,PHI,21,SF,26,-4.0,49.5
2014,2014-09-28,ATL,28,MIN,41,6.0,47.5
2014,2014-09-28,NO,17,DAL,38,3.0,54.0
2014,2014-09-29,NE,14,KC,41,3.0,45.5
2014,2014-10-02,MIN,10,GB,42,-9.5,46.5
2014,2014-10-05,CHI,24,CAR,31,-1.5,47.0
2014,2014-10-05,CLE,29,TEN,28,1.0,44.0
2014,2014-10-05,STL,28,PHI,34,-4.0,48.0
2014,2014-10-05,ATL,20,NYG,30,-4.0,50.5
2014,2014-10-05,TB,31,NO,37,-11.0,48.0
2014,2014-10-05,HOU,17,DAL,20,-5.5,48.0
2014,2014-10-05,BUF,17,DET,14,-5.0,43.5
2014,2014-10-05,BAL,13,IND,20,-3.0,49.5
2014,2014-10-05,PIT,17,JAX,9,6.0,47.5
2014,2014-10-05,ARI,20,DEN,41,-8.5,47.5
2014,2014-10-05,KC,17,SF,22,-5.0,43.5
2014,2014-10-05,NYJ,0,SD,31,-7.0,44.5
2014,2014-10-05,CIN,17,NE,43,2.5,46.5
2014,2014-10-06,SEA,27,WSH,17,7.0,46.0
2014,2014-10-09,IND,33,HOU,28,2.5,46.0
2014,2014-10-12,DEN,31,NYJ,17,10.0,47.5
2014,2014-10-12,PIT,10,CLE,31,-2.0,46.5
2014,2014-10-12,JAX,14,TEN,16,-4.0,42.5
2014,2014-10-12,CHI,27,ATL,13,-3.5,56.0
2014,2014-10-12,GB,27,MIA,24,2.0,47.0
2014,2014-10-12,DET,17,MIN,3,-1.5,43.0
2014,2014-10-12,CAR,37,CIN,37,-7.0,44.0
2014,2014-10-12,NE,37,BUF,22,0.0,44.5
2014,2014-10-12,BAL,48,TB,17,3.5,44.5
